TIPO,REF,Etapa,ACCT,BUDGET
Below the Line,Detalle,PREP,2010-011,207000
Below the Line,Detalle,SHOOT,2010-012,161000
Below the Line,Detalle,WRAP,2010-013,92000
Below the Line,Detalle,POST,2010-014,138000
Below the Line,Sub cuenta,,2011,749500
Below the Line,Detalle,,2011-002,0
Below the Line,Detalle,SOFT,2011-003,15000
Below the Line,Detalle,PREP,2011-004,108000
Below the Line,Detalle,SHOOT,2011-005,84000
Below the Line,Detalle,WRAP,2011-006,48000
Below the Line,Detalle,POST,2011-007,72000
Below the Line,Detalle,,2011-010,0
Below the Line,Detalle,SOFT,2011-011,12500
Below the Line,Detalle,PREP,2011-012,90000
Below the Line,Detalle,SHOOT,2011-013,70000
Below the Line,Detalle,WRAP,2011-014,40000
Below the Line,Detalle,POST,2011-015,60000
Below the Line,Detalle,,2011-018,0
Below the Line,Detalle,SOFT,2011-019,18000
Below the Line,Detalle,PREP,2011-020,49500
Below the Line,Detalle,SHOOT,2011-021,38500
Below the Line,Detalle,WRAP,2011-022,22000
Below the Line,Detalle,POST,2011-023,22000
Below the Line,Sub cuenta,,2013,491400
Below the Line,Detalle,,2013-002,0
Below the Line,Detalle,SOFT,2013-003,94500
Below the Line,Detalle,PREP,2013-004,170100
Below the Line,Detalle,SHOOT,2013-005,132300
Below the Line,Detalle,WRAP,2013-006,94500
Below the Line,Sub cuenta,,2014,429000
Below the Line,Detalle,,2014-002,0
Below the Line,Detalle,PREP,2014-003,81000
Below the Line,Detalle,SHOOT,2014-004,63000
Below the Line,Detalle,WRAP,2014-005,45000
Below the Line,Detalle,,2014-008,0
Below the Line,Detalle,PREP,2014-009,56000
Below the Line,Detalle,SHOOT,2014-010,56000
Below the Line,Detalle,WRAP,2014-011,32000
Below the Line,Detalle,,2014-014,0
Below the Line,Detalle,SHOOT,2014-015,32000
Below the Line,Detalle,WRAP,2014-016,64000
Below the Line,Sub cuenta,,2017,237500
Below the Line,Detalle,,2017-002,0
Below the Line,Detalle,PREP,2017-003,87500
Below the Line,Detalle,SHOOT,2017-004,87500
Below the Line,Detalle,WRAP,2017-005,12500
Below the Line,Detalle,,2017-008,0
Below the Line,Detalle,2nd Unit,2017-009,12500
Below the Line,Detalle,2nd Unit,2017-010,25000
Below the Line,Detalle,2nd Unit,2017-011,12500
Below the Line,Sub cuenta,,2019,119000
Below the Line,Detalle,,2019-002,0
Below the Line,Detalle,PREP,2019-003,12000
Below the Line,Detalle,SHOOT,2019-004,42000
Below the Line,Detalle,WRAP,2019-005,6000
Below the Line,Detalle,,2019-008,0
Below the Line,Detalle,PREP,2019-009,11800
Below the Line,Detalle,SHOOT,2019-010,41300
Below the Line,Detalle,WRAP,2019-011,5900
Below the Line,Sub cuenta,,2020,619000
Below the Line,Detalle,,2020-002,0
Below the Line,Detalle,PREP,2020-003,108000
Below the Line,Detalle,SHOOT,2020-004,126000
Below the Line,Detalle,WRAP,2020-005,18000
Below the Line,Detalle,,2020-008,0
Below the Line,Detalle,PREP,2020-009,54000
Below the Line,Detalle,SHOOT,2020-010,63000
Below the Line,Detalle,WRAP,2020-011,18000
Below the Line,Detalle,,2020-014,0
Below the Line,Detalle,PREP,2020-015,14000
Below the Line,Detalle,SHOOT,2020-016,49000
Below the Line,Detalle,WRAP,2020-017,7000
Below the Line,Detalle,,2020-020,0
Below the Line,Detalle,PREP,2020-021,14000
Below the Line,Detalle,SHOOT,2020-022,49000
Below the Line,Detalle,WRAP,2020-023,7000
Below the Line,Detalle,,2020-026,0
Below the Line,Detalle,SHOOT,2020-027,49000
Below the Line,Detalle,,2020-030,0
Below the Line,Detalle,2nd Unit,2020-031,7000
Below the Line,Detalle,2nd Unit,2020-032,14000
Below the Line,Detalle,2nd Unit,2020-033,0
Below the Line,Detalle,,2020-036,0
Below the Line,Detalle,2nd Unit,2020-037,0
Below the Line,Detalle,2nd Unit,2020-038,14000
Below the Line,Detalle,2nd Unit,2020-039,0
Below the Line,Detalle,,2020-042,0
Below the Line,Detalle,2nd Unit,2020-043,0
Below the Line,Detalle,2nd Unit,2020-044,8000
Below the Line,Detalle,2nd Unit,2020-045,0
Below the Line,Detalle,2nd Unit,2020-047,
Below the Line,Sub cuenta,,2030,307700
Below the Line,Detalle,,2030-002,0
Below the Line,Detalle,PREP,2030-003,16000
Below the Line,Detalle,SHOOT,2030-004,56000
Below the Line,Detalle,WRAP,2030-005,8000
Below the Line,Detalle,,2030-008,0
Below the Line,Detalle,PREP,2030-009,50600
Below the Line,Detalle,SHOOT,2030-010,177100
Below the Line,Detalle,WRAP,2030-011,0
Below the Line,Sub cuenta,,2042,5000
Below the Line,Detalle,,2042-002,0
Below the Line,Detalle,ALL SHOW,2042-003,5000
Below the Line,Sub cuenta,,2045,148000
Below the Line,Detalle,,2045-002,0
Below the Line,Detalle,PREP,2045-003,24000
Below the Line,Detalle,SHOOT,2045-004,56000
Below the Line,Detalle,WRAP,2045-005,8000
Below the Line,Detalle,,2045-008,0
Below the Line,Detalle,SHOOT,2045-009,52500
Below the Line,Detalle,WRAP,2045-010,7500
Below the Line,Sub cuenta,,2080,60000
Below the Line,Detalle,,2080-002,0
Below the Line,Detalle,SHOOT,2080-003,60000
Below the Line,Cuenta General,,2100,1614000
Below the Line,Sub cuenta,,2103,1322000
Below the Line,Detalle,,2103-002,0
Below the Line,Detalle,,2103-003,0
Below the Line,Detalle,SHOOT,2103-004,1250000
Below the Line,Detalle,SHOOT,2103-005,72000
Below the Line,Sub cuenta,,2110,292000
Below the Line,Detalle,,2110-002,0
Below the Line,Detalle,PREP,2110-003,20000
Below the Line,Detalle,SHOOT,2110-004,140000
Below the Line,Detalle,,2110-007,0
Below the Line,Detalle,SHOOT,2110-008,105000
Below the Line,Detalle,,2110-011,0
Below the Line,Detalle,SHOOT,2110-012,27000
Below the Line,Cuenta General,,2200,1825740
Below the Line,Sub cuenta,,2201,598290
Below the Line,Detalle,,2201-002,0
Below the Line,Detalle,SOFT,2201-003,16170
Below the Line,Detalle,PREP,2201-004,291060
Below the Line,Detalle,SHOOT,2201-005,226380
Below the Line,Detalle,WRAP,2201-006,64680
Below the Line,Sub cuenta,,2202,387450
Below the Line,Detalle,,2202-002,0
Below the Line,Detalle,PREP,2202-003,193725
Below the Line,Detalle,SHOOT,2202-004,150675
Below the Line,Detalle,WRAP,2202-005,43050
Below the Line,Sub cuenta,,2203,151200
Below the Line,Detalle,,2203-002,0
Below the Line,Detalle,PREP,2203-003,50400
Below the Line,Detalle,SHOOT,2203-004,88200
Below the Line,Detalle,WRAP,2203-005,12600
Below the Line,Sub cuenta,,2206,490000
Below the Line,Detalle,,2206-002,0
Below the Line,Detalle,PREP,2206-003,141750
Below the Line,Detalle,SHOOT,2206-004,110250
Below the Line,Detalle,WRAP,2206-005,31500
Below the Line,Detalle,,2206-008,0
Below the Line,Detalle,PREP,2206-009,28000
Below the Line,Detalle,SHOOT,2206-010,49000
Below the Line,Detalle,WRAP,2206-011,14000
Below the Line,Detalle,,2206-014,0
Below the Line,Detalle,PREP,2206-015,38500
Below the Line,Detalle,SHOOT,2206-016,53900
Below the Line,Detalle,WRAP,2206-017,23100
Below the Line,Sub cuenta,,2213,163800
Below the Line,Detalle,,2213-002,0
Below the Line,Detalle,PREP,2213-003,75600
Below the Line,Detalle,SHOOT,2213-004,88200
Below the Line,Sub cuenta,,2285,35000
Below the Line,Detalle,,2285-002,0
Below the Line,Detalle,ALL SHOW,2285-003,35000
Below the Line,Cuenta General,,2300,1427550
Below the Line,Sub cuenta,,2310,116550
Below the Line,Detalle,,2310-002,0
Below the Line,Detalle,PREP,2310-003,14700
Below the Line,Detalle,SHOOT,2310-004,51450
Below the Line,Detalle,WRAP,2310-005,0
Below the Line,Detalle,,2310-008,0
Below the Line,Detalle,PREP,2310-009,6300
Below the Line,Detalle,SHOOT,2310-010,44100
Below the Line,Detalle,WRAP,2310-011,0
Below the Line,Sub cuenta,,2311,125000
Below the Line,Detalle,,2311-002,0
Below the Line,Detalle,ALL SHOW,2311-003,60000
Below the Line,Detalle,ALL SHOW,2311-004,5000
Below the Line,Detalle,ALL SHOW,2311-005,60000
Below the Line,Sub cuenta,,2385,60000
Below the Line,Detalle,,2385-002,0
Below the Line,Detalle,ALL SHOW,2385-003,60000
Below the Line,Sub cuenta,,2390,66000
Below the Line,Detalle,,2390-002,0
Below the Line,Detalle,PREP,2390-003,18000
Below the Line,Detalle,SHOOT,2390-004,42000
Below the Line,Detalle,WRAP,2390-005,6000
Below the Line,Sub cuenta,,2394,1000000
Below the Line,Detalle,,2394-002,0
Below the Line,Detalle,,2394-004,0
Below the Line,Detalle,SHOOT,2394-005,450000
Below the Line,Detalle,,2394-008,0
Below the Line,Detalle,SHOOT,2394-009,70000
Below the Line,Detalle,,2394-012,0
Below the Line,Detalle,SHOOT,2394-013,40000
Below the Line,Detalle,,2394-016,0
Below the Line,Detalle,SHOOT,2394-017,20000
Below the Line,Detalle,,2394-020,0
Below the Line,Detalle,SHOOT,2394-021,100000
Below the Line,Detalle,,2394-024,0
Below the Line,Detalle,SHOOT,2394-025,15000
Below the Line,Detalle,,2394-028,0
Below the Line,Detalle,SHOOT,2394-029,25000
Below the Line,Detalle,,2394-032,0
Below the Line,Detalle,SHOOT,2394-033,20000
Below the Line,Detalle,,2394-036,0
Below the Line,Detalle,SHOOT,2394-037,30000
Below the Line,Detalle,,2394-040,0
Below the Line,Detalle,SHOOT,2394-041,20000
Below the Line,Detalle,,2394-044,0
Below the Line,Detalle,SHOOT,2394-045,20000
Below the Line,Detalle,,2394-048,0
Below the Line,Detalle,SHOOT,2394-049,30000
Below the Line,Detalle,,2394-052,0
Below the Line,Detalle,SHOOT,2394-053,15000
Below the Line,Detalle,,2394-056,0
Below the Line,Detalle,SHOOT,2394-057,10000
Below the Line,Detalle,,2394-060,0
Below the Line,Detalle,SHOOT,2394-061,20000
Below the Line,Detalle,,2394-064,0
Below the Line,Detalle,SHOOT,2394-065,10000
Below the Line,Detalle,,2394-068,0
Below the Line,Detalle,SHOOT,2394-069,40000
Below the Line,Detalle,,2394-072,0
Below the Line,Detalle,SHOOT,2394-073,65000
Below the Line,Sub cuenta,,2398,60000
Below the Line,Detalle,,2398-002,0
Below the Line,Detalle,SHOOT,2398-003,60000
Below the Line,Cuenta General,,2400,5268025
Below the Line,Sub cuenta,,2401,788425
Below the Line,Detalle,,2401-002,0
Below the Line,Detalle,PREP,2401-003,124950
Below the Line,Detalle,SHOOT,2401-004,124950
Below the Line,Detalle,WRAP,2401-005,35700
Below the Line,Detalle,,2401-008,0
Below the Line,Detalle,PREP,2401-009,40000
Below the Line,Detalle,WRAP,2401-010,10000
Below the Line,Detalle,,2401-013,0
Below the Line,Detalle,PREP,2401-014,44625
Below the Line,Detalle,SHOOT,2401-015,62475
Below the Line,Detalle,WRAP,2401-016,8925
Below the Line,Detalle,,2401-019,0
Below the Line,Detalle,PREP,2401-020,35700
Below the Line,Detalle,SHOOT,2401-021,62475
Below the Line,Detalle,WRAP,2401-022,8925
Below the Line,Detalle,,2401-025,0
Below the Line,Detalle,PREP,2401-026,29400
Below the Line,Detalle,SHOOT,2401-027,51450
Below the Line,Detalle,WRAP,2401-028,7350
Below the Line,Detalle,,2401-031,0
Below the Line,Detalle,PREP,2401-032,22050
Below the Line,Detalle,SHOOT,2401-033,51450
Below the Line,Detalle,,2401-036,0
Below the Line,Detalle,2nd Unit,2401-037,8500
Below the Line,Detalle,2nd Unit,2401-038,17000
Below the Line,Detalle,2nd Unit,2401-039,8500
Below the Line,Detalle,,2401-042,0
Below the Line,Detalle,2nd Unit,2401-043,8500
Below the Line,Detalle,2nd Unit,2401-044,17000
Below the Line,Detalle,2nd Unit,2401-045,8500
Below the Line,Sub cuenta,,2402,88200
Below the Line,Detalle,,2402-002,0
Below the Line,Detalle,PREP,2402-003,21000
Below the Line,Detalle,SHOOT,2402-004,58800
Below the Line,Detalle,WRAP,2402-005,8400
Below the Line,Sub cuenta,,2403,358650
Below the Line,Detalle,,2403-002,0
Below the Line,Detalle,PREP,2403-003,23625
Below the Line,Detalle,SHOOT,2403-004,55125
Below the Line,Detalle,WRAP,2403-005,7875
Below the Line,Detalle,,2403-008,0
Below the Line,Detalle,PREP,2403-009,15750
Below the Line,Detalle,SHOOT,2403-010,55125
Below the Line,Detalle,WRAP,2403-011,7875
Below the Line,Detalle,,2403-014,0
Below the Line,Detalle,PREP,2403-015,7875
Below the Line,Detalle,SHOOT,2403-016,55125
Below the Line,Detalle,WRAP,2403-017,7875
Below the Line,Detalle,,2403-020,0
Below the Line,Detalle,PREP,2403-021,31200
Below the Line,Detalle,WRAP,2403-022,31200
Below the Line,Detalle,,2403-025,0
Below the Line,Detalle,2nd Unit,2403-026,7500
Below the Line,Detalle,2nd Unit,2403-027,15000
Below the Line,Detalle,2nd Unit,2403-028,7500
Below the Line,Detalle,,2403-031,0
Below the Line,Detalle,2nd Unit,2403-032,7500
Below the Line,Detalle,2nd Unit,2403-033,15000
Below the Line,Detalle,2nd Unit,2403-034,7500
Below the Line,Sub cuenta,,2405,301020
Below the Line,Detalle,,2405-002,0
Below the Line,Detalle,PREP,2405-003,10290
Below the Line,Detalle,SHOOT,2405-004,72030
Below the Line,Detalle,,2405-007,0
Below the Line,Detalle,PREP,2405-008,8400
Below the Line,Detalle,SHOOT,2405-009,58800
Below the Line,Detalle,,2405-012,0
Below the Line,Detalle,2nd Unit,2405-013,8000
Below the Line,Detalle,2nd Unit,2405-014,16000
Below the Line,Detalle,2nd Unit,2405-015,0
Below the Line,Detalle,,2405-018,0
Below the Line,Detalle,2nd Unit,2405-019,7500
Below the Line,Detalle,2nd Unit,2405-020,15000
Below the Line,Detalle,2nd Unit,2405-021,0
Below the Line,Detalle,,2405-024,0
Below the Line,Detalle,SHOOT,2405-025,105000
Below the Line,Sub cuenta,,2485,144000
Below the Line,Detalle,,2485-002,0
Below the Line,Detalle,ALL SHOW,2485-003,100000
Below the Line,Detalle,ALL SHOW,2485-004,44000
Below the Line,Sub cuenta,,2490,120000
Below the Line,Detalle,,2490-002,0
Below the Line,Detalle,PREP,2490-003,45000
Below the Line,Detalle,SHOOT,2490-004,63000
Below the Line,Detalle,WRAP,2490-005,12000
Below the Line,Sub cuenta,,2494,3001630
Below the Line,Detalle,,2494-002,0
Below the Line,Detalle,SHOOT,2494-003,978000
Below the Line,Detalle,,2494-006,0
Below the Line,Detalle,SHOOT,2494-007,350000
Below the Line,Detalle,,2494-010,0
Below the Line,Detalle,SHOOT,2494-011,60000
Below the Line,Detalle,,2494-014,0
Below the Line,Detalle,SHOOT,2494-015,40000
Below the Line,Detalle,,2494-018,0
Below the Line,Detalle,SHOOT,2494-019,30000
Below the Line,Detalle,,2494-022,0
Below the Line,Detalle,SHOOT,2494-023,100000
Below the Line,Detalle,,2494-026,0
Below the Line,Detalle,SHOOT,2494-027,60000
Below the Line,Detalle,,2494-030,0
Below the Line,Detalle,SHOOT,2494-031,90000
Below the Line,Detalle,,2494-034,0
Below the Line,Detalle,SHOOT,2494-035,87000
Below the Line,Detalle,,2494-038,0
Below the Line,Detalle,SHOOT,2494-039,60000
Below the Line,Detalle,,2494-042,0
Below the Line,Detalle,SHOOT,2494-043,90000
Below the Line,Detalle,,2494-046,0
Below the Line,Detalle,SHOOT,2494-047,90000
Below the Line,Detalle,,2494-050,0
Below the Line,Detalle,SHOOT,2494-051,30000
Below the Line,Detalle,,2494-054,0
Below the Line,Detalle,SHOOT,2494-055,65000
Below the Line,Detalle,,2494-058,0
Below the Line,Detalle,SHOOT,2494-059,100000
Below the Line,Detalle,,2494-062,0
Below the Line,Detalle,SHOOT,2494-063,50000
Below the Line,Detalle,,2494-066,0
Below the Line,Detalle,SHOOT,2494-067,400000
Below the Line,Detalle,,2494-070,0
Below the Line,Detalle,SHOOT,2494-071,214000
Below the Line,Detalle,,2494-074,0
Below the Line,Detalle,ALL SHOW,2494-075,107630
Below the Line,Sub cuenta,,2495,366100
Below the Line,Detalle,,2495-002,0
Below the Line,Detalle,ALL SHOW,2495-003,225000
Below the Line,Detalle,,2495-006,0
Below the Line,Detalle,PREP,2495-007,30000
Below the Line,Detalle,,2495-010,0
Below the Line,Detalle,PREP,2495-011,18900
Below the Line,Detalle,SHOOT,2495-012,44100
Below the Line,Detalle,WRAP,2495-013,12600
Below the Line,Detalle,,2495-016,0
Below the Line,Detalle,ALL SHOW,2495-017,30000
Below the Line,Detalle,,2495-020,0
Below the Line,Detalle,ALL SHOW,2495-021,5500
Below the Line,Sub cuenta,,2498,100000
Below the Line,Detalle,,2498-002,0
Below the Line,Detalle,ALL SHOW,2498-003,100000
Below the Line,Cuenta General,,2500,1009000
Below the Line,Sub cuenta,,2501,360500
Below the Line,Detalle,,2501-002,0
Below the Line,Detalle,PREP,2501-003,85000
Below the Line,Detalle,SHOOT,2501-004,119000
Below the Line,Detalle,WRAP,2501-005,34000
Below the Line,Detalle,,2501-008,0
Below the Line,Detalle,PREP,2501-009,39200
Below the Line,Detalle,SHOOT,2501-010,68600
Below the Line,Detalle,WRAP,2501-011,14700
Below the Line,Sub cuenta,,2502,111000
Below the Line,Detalle,,2502-002,0
Below the Line,Detalle,PREP,2502-003,24000
Below the Line,Detalle,SHOOT,2502-004,56000
Below the Line,Detalle,,2502-007,0
Below the Line,Detalle,2nd Unit,2502-008,16000
Below the Line,Detalle,,2502-011,0
Below the Line,Detalle,2nd Unit,2502-012,15000
Below the Line,Sub cuenta,,2508,102500
Below the Line,Detalle,,2508-002,0
Below the Line,Detalle,SHOOT,2508-003,52500
Below the Line,Detalle,,2508-006,0
Below the Line,Detalle,ALL SHOW,2508-007,50000
Below the Line,Sub cuenta,,2585,85000
Below the Line,Detalle,,2585-002,0
Below the Line,Detalle,ALL SHOW,2585-003,85000
Below the Line,Sub cuenta,,2594,310000
Below the Line,Detalle,,2594-002,0
Below the Line,Detalle,ALL SHOW,2594-003,310000
Below the Line,Sub cuenta,,2598,40000
Below the Line,Detalle,,2598-002,0
Below the Line,Detalle,ALL SHOW,2598-003,40000
Below the Line,Cuenta General,,2600,1115250
Below the Line,Sub cuenta,,2601,61900
Below the Line,Detalle,,2601-002,0
Below the Line,Detalle,SHOOT,2601-003,47500
Below the Line,Detalle,,2601-006,0
Below the Line,Detalle,SHOOT,2601-007,14400
Below the Line,Sub cuenta,,2602,660900
Below the Line,Detalle,,2602-002,0
Below the Line,Detalle,SHOOT,2602-003,45000
Below the Line,Detalle,SHOOT,2602-004,36000
Below the Line,Detalle,SHOOT,2602-005,96000
Below the Line,Detalle,SHOOT,2602-006,67200
Below the Line,Detalle,SHOOT,2602-007,24000
Below the Line,Detalle,SHOOT,2602-008,16000
Below the Line,Detalle,SHOOT,2602-009,12000
Below the Line,Detalle,SHOOT,2602-010,9500
Below the Line,Detalle,SHOOT,2602-011,14000
Below the Line,Detalle,SHOOT,2602-012,12000
Below the Line,Detalle,SHOOT,2602-013,12000
Below the Line,Detalle,SHOOT,2602-014,14400
Below the Line,Detalle,SHOOT,2602-015,12000
Below the Line,Detalle,SHOOT,2602-016,25200
Below the Line,Detalle,SHOOT,2602-017,24000
Below the Line,Detalle,SHOOT,2602-018,56000
Below the Line,Detalle,SHOOT,2602-019,48000
Below the Line,Detalle,SHOOT,2602-020,70000
Below the Line,Detalle,SHOOT,2602-021,33600
Below the Line,Detalle,SHOOT,2602-022,34000
Below the Line,Detalle,SHOOT,2602-023,
Below the Line,Sub cuenta,,2621,63600
Below the Line,Detalle,,2621-002,0
Below the Line,Detalle,PREP,2621-003,10000
Below the Line,Detalle,SHOOT,2621-004,53600
Below the Line,Sub cuenta,,2623,303850
Below the Line,Detalle,,2623-002,0
Below the Line,Detalle,SHOOT,2623-003,30000
Below the Line,Detalle,SHOOT,2623-004,30000
Below the Line,Detalle,SHOOT,2623-005,40000
Below the Line,Detalle,SHOOT,2623-006,40000
Below the Line,Detalle,SHOOT,2623-007,36000
Below the Line,Detalle,SHOOT,2623-008,10000
Below the Line,Detalle,,2623-011,0
Below the Line,Detalle,SHOOT,2623-012,5250
Below the Line,Detalle,SHOOT,2623-013,15200
Below the Line,Detalle,SHOOT,2623-014,21000
Below the Line,Detalle,SHOOT,2623-015,14400
Below the Line,Detalle,SHOOT,2623-016,5200
Below the Line,Detalle,SHOOT,2623-017,15600
Below the Line,Detalle,SHOOT,2623-018,38000
Below the Line,Detalle,SHOOT,2623-019,3200
Below the Line,Sub cuenta,,2693,25000
Below the Line,Detalle,,2693-002,0
Below the Line,Detalle,ALL SHOW,2693-003,25000
Below the Line,Cuenta General,,2700,2972500
Below the Line,Sub cuenta,,2701,382500
Below the Line,Detalle,,2701-002,0
Below the Line,Detalle,PREP,2701-003,202500
Below the Line,Detalle,SHOOT,2701-004,157500
Below the Line,Detalle,WRAP,2701-005,22500
Below the Line,Sub cuenta,,2703,160000
Below the Line,Detalle,,2703-002,0
Below the Line,Detalle,PREP,2703-003,70000
Below the Line,Detalle,SHOOT,2703-004,70000
Below the Line,Detalle,WRAP,2703-005,20000
Below the Line,Sub cuenta,,2705,252000
Below the Line,Detalle,,2705-002,0
Below the Line,Detalle,PREP,2705-003,126000
Below the Line,Detalle,SHOOT,2705-004,98000
Below the Line,Detalle,WRAP,2705-005,28000
Below the Line,Sub cuenta,,2706,120000
Below the Line,Detalle,,2706-002,0
Below the Line,Detalle,PREP,2706-003,24000
Below the Line,Detalle,SHOOT,2706-004,56000
Below the Line,Detalle,WRAP,2706-005,16000
Below the Line,Detalle,,2706-008,0
Below the Line,Detalle,2nd Unit,2706-009,8000
Below the Line,Detalle,2nd Unit,2706-010,16000
Below the Line,Detalle,2nd Unit,2706-011,0
Below the Line,Sub cuenta,,2707,229000
Below the Line,Detalle,,2707-002,0
Below the Line,Detalle,PREP,2707-003,22500
Below the Line,Detalle,SHOOT,2707-004,52500
Below the Line,Detalle,WRAP,2707-005,15000
Below the Line,Detalle,,2707-008,0
Below the Line,Detalle,PREP,2707-009,34500
Below the Line,Detalle,,2707-012,0
Below the Line,Detalle,2nd Unit,2707-013,10000
Below the Line,Detalle,2nd Unit,2707-014,20000
Below the Line,Detalle,2nd Unit,2707-015,10000
Below the Line,Detalle,,2707-018,0
Below the Line,Detalle,2nd Unit,2707-019,7500
Below the Line,Detalle,2nd Unit,2707-020,15000
Below the Line,Detalle,2nd Unit,2707-021,7500
Below the Line,Detalle,,2707-024,0
Below the Line,Detalle,SHOOT,2707-025,34500
Below the Line,Sub cuenta,,2709,10000
Below the Line,Detalle,,2709-002,0
Below the Line,Detalle,PREP,2709-003,10000
Below the Line,Sub cuenta,,2794,1500000
Below the Line,Detalle,,2794-002,0
Below the Line,Detalle,SHOOT,2794-003,1500000
Below the Line,Sub cuenta,,2795,299000
Below the Line,Detalle,,2795-002,0
Below the Line,Detalle,ALL SHOW,2795-003,140000
Below the Line,Detalle,,2795-006,0
Below the Line,Detalle,ALL SHOW,2795-007,15000
Below the Line,Detalle,,2795-010,0
Below the Line,Detalle,PREP,2795-011,63000
Below the Line,Detalle,SHOOT,2795-012,63000
Below the Line,Detalle,WRAP,2795-013,18000
Below the Line,Sub cuenta,,2798,20000
Below the Line,Detalle,,2798-002,0
Below the Line,Detalle,ALL SHOW,2798-003,20000
Below the Line,Cuenta General,,2800,1208200
Below the Line,Sub cuenta,,2801,474900
Below the Line,Detalle,,2801-002,0
Below the Line,Detalle,PREP,2801-003,147000
Below the Line,Detalle,SHOOT,2801-004,147000
Below the Line,Detalle,WRAP,2801-005,21000
Below the Line,Detalle,,2801-008,0
Below the Line,Detalle,PREP,2801-009,61500
Below the Line,Detalle,SHOOT,2801-010,86100
Below the Line,Detalle,WRAP,2801-011,12300
Below the Line,Sub cuenta,,2802,253400
Below the Line,Detalle,,2802-002,0
Below the Line,Detalle,PREP,2802-003,36000
Below the Line,Detalle,SHOOT,2802-004,84000
Below the Line,Detalle,WRAP,2802-005,0
Below the Line,Detalle,,2802-008,0
Below the Line,Detalle,PREP,2802-009,10300
Below the Line,Detalle,SHOOT,2802-010,72100
Below the Line,Detalle,,2802-013,0
Below the Line,Detalle,2nd Unit,2802-014,9000
Below the Line,Detalle,2nd Unit,2802-015,18000
Below the Line,Detalle,2nd Unit,2802-016,0
Below the Line,Detalle,,2802-019,0
Below the Line,Detalle,2nd Unit,2802-020,8000
Below the Line,Detalle,2nd Unit,2802-021,16000
Below the Line,Detalle,2nd Unit,2802-022,0
Below the Line,Sub cuenta,,2804,120000
Below the Line,Detalle,,2804-002,0
Below the Line,Detalle,PREP,2804-003,36000
Below the Line,Detalle,SHOOT,2804-004,84000
Below the Line,Detalle,WRAP,2804-005,0
Below the Line,Sub cuenta,,2805,159900
Below the Line,Detalle,,2805-002,0
Below the Line,Detalle,PREP,2805-003,9300
Below the Line,Detalle,SHOOT,2805-004,65100
Below the Line,Detalle,WRAP,2805-005,0
Below the Line,Detalle,,2805-008,0
Below the Line,Detalle,2nd Unit,2805-009,8000
Below the Line,Detalle,2nd Unit,2805-010,16000
Below the Line,Detalle,,2805-013,0
Below the Line,Detalle,2nd Unit,2805-014,8000
Below the Line,Detalle,2nd Unit,2805-015,16000
Below the Line,Detalle,,2805-018,0
Below the Line,Detalle,SHOOT,2805-019,37500
Below the Line,Sub cuenta,,2808,120000
Below the Line,Detalle,,2808-002,0
Below the Line,Detalle,ALL SHOW,2808-003,120000
Below the Line,Sub cuenta,,2885,80000
Below the Line,Detalle,,2885-002,0
Below the Line,Detalle,ALL SHOW,2885-003,80000
Below the Line,Cuenta General,,2900,630387
Below the Line,Sub cuenta,,2902,411637
Below the Line,Detalle,,2902-002,0
Below the Line,Detalle,PREP,2902-003,3579.45
Below the Line,Detalle,SHOOT,2902-004,100224.6
Below the Line,Detalle,WRAP,2902-005,7158.9
Below the Line,Detalle,,2902-008,0
Below the Line,Detalle,PREP,2902-009,0
Below the Line,Detalle,SHOOT,2902-010,100224.6
Below the Line,Detalle,WRAP,2902-011,7158.9
Below the Line,Detalle,,2902-014,0
Below the Line,Detalle,PREP,2902-015,0
Below the Line,Detalle,SHOOT,2902-016,100224.6
Below the Line,Detalle,WRAP,2902-017,7158.9
Below the Line,Detalle,,2902-020,0
Below the Line,Detalle,2nd Unit,2902-021,7158.9
Below the Line,Detalle,2nd Unit,2902-022,28635.6
Below the Line,Detalle,2nd Unit,2902-023,7158.9
Below the Line,Detalle,,2902-026,0
Below the Line,Detalle,2nd Unit,2902-027,7158.9
Below the Line,Detalle,2nd Unit,2902-028,28635.6
Below the Line,Detalle,2nd Unit,2902-029,7158.9
Below the Line,Sub cuenta,,2911,60000
Below the Line,Detalle,,2911-002,0
Below the Line,Detalle,SHOOT,2911-003,60000
Below the Line,Sub cuenta,,2985,78750
Below the Line,Detalle,,2985-002,0
Below the Line,Detalle,ALL SHOW,2985-003,78750
Below the Line,Sub cuenta,,2998,80000
Below the Line,Detalle,Fringes,2998-001,0
Below the Line,Detalle,,2998-002,0
Below the Line,Detalle,ALL SHOW,2998-003,80000
Below the Line,Cuenta General,,3000,1624362
Below the Line,Sub cuenta,,3001,211466
Below the Line,Detalle,,3001-002,0
Below the Line,Detalle,PREP,3001-003,17622.15
Below the Line,Detalle,SHOOT,3001-004,123355.05
Below the Line,Detalle,WRAP,3001-005,17622.15
Below the Line,Detalle,,3001-008,0
Below the Line,Detalle,2nd Unit,3001-009,8811.08
Below the Line,Detalle,2nd Unit,3001-010,35244.3
Below the Line,Detalle,2nd Unit,3001-011,8811.08
Below the Line,Sub cuenta,,3002,418796
Below the Line,Detalle,,3002-002,0
Below the Line,Detalle,PREP,3002-003,3579.45
Below the Line,Detalle,SHOOT,3002-004,100224.6
Below the Line,Detalle,WRAP,3002-005,7158.9
Below the Line,Detalle,,3002-008,0
